day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-08-16,-1.0259035695964738,1.0,,1.0,1.0
2026-08-17,0.3805508529510761,0.46181982258394,-0.7071067811865475,1.0,2.0
2026-08-18,0.40308630469016515,0.673091390615414,0.2,1.0,3.0
2026-08-22,-0.7071067811865474,1.0,0.7071067811865475,1.0,1.0
2026-08-23,0.0,1.0,0.0,1.0,1.0
2026-08-31,0.11666666666666665,1.0,0.5,1.0,1.0
2026-09-02,0.5773502691896255,1.0,,1.0,1.0
2026-09-03,-0.5773502691896258,0.8164965809277261,0.2,1.0,2.0
