0,1,2,3,4,word,summary
1630.811411313135,-0.2896113166379508,0.0,0.0,5.551115123125783e-16,summaryOfAllWords,1155.6662048244934
-2.6555879491821828,-0.2919934851935816,0.0,0.0,0.0,Luftangriffe,1.261570083595366
-2.580347833423816,-0.21667092495151286,0.0,0.0,0.0,Südlibanon,1.368033988749895
-2.580347833423816,-0.21667092495151286,0.0,0.0,0.0,luft+angriff+e südlibanon,1.368033988749895
3.0812792176661543,5.451159863525548,0.0,0.0,0.0,Israel,9.37917165530152
-2.328253303702457,0.0356998377758353,0.0,0.0,0.0,südlibanon israel,1.724744871391589
-1.6383373386389397,0.7263717794213125,0.0,0.0,0.0,droht,2.70096808860467
-2.5278277230262596,-0.16409326555443626,0.0,0.0,0.0,israel droh+t,1.4423493456005922
-2.6129184245877823,-0.24927720539566345,0.0,0.0,0.0,weiteren,1.3219469739499228
-2.6129184245877823,-0.24927720539566345,0.0,0.0,0.0,droh+t weit+er+en,1.3219469739499228
-2.649604599912333,-0.2860035796586815,0.0,0.0,0.0,Attacken,1.2700364545299538
-2.649604599912333,-0.2860035796586815,0.0,0.0,0.0,weit+er+en attacke+n,1.2700364545299538
-2.384694001855899,-0.02080270536777129,0.0,0.0,0.0,Libanon,1.6448819276082354
-2.6788260379700404,-0.31525703715640974,0.0,0.0,0.0,attacke+n libanon,1.2286884531546538
-2.5234489159605054,-0.1597096604034569,0.0,0.0,0.0,Nach,1.4485453076274928
-2.692178702560307,-0.32862433295141447,0.0,0.0,0.0,libanon nach,1.209794585140631
-2.279809697624607,0.08419652601672412,0.0,0.0,0.0,israelischen,1.7932920211511514
-2.6990098052103146,-0.33546292079366813,0.0,0.0,0.0,nach israelisch+en,1.2001286528477193
-2.4040453667222668,-0.040175274524818505,0.0,0.0,0.0,Angriffen,1.6174999671609656
-2.7082074791430912,-0.34467067309316446,0.0,0.0,0.0,israelisch+en angriff+en,1.187114049197106
-2.6788260379700404,-0.31525703715640974,0.0,0.0,0.0,angriff+en libanon,1.2286884531546538
-2.670630420620536,-0.3070524394453755,0.0,0.0,0.0,Toten,1.2402851581754524
-2.670630420620536,-0.3070524394453755,0.0,0.0,0.0,libanon tot+en,1.2402851581754524
-2.5278277230262596,-0.16409326555443626,0.0,0.0,0.0,tot+en droh+t,1.4423493456005922
-1.8426269020678185,0.5218583653588615,0.0,0.0,0.0,Verteidigungsminister,2.411900687714425
-2.6356464482982047,-0.2720301333763875,0.0,0.0,0.0,droh+t verteidigung+s+minister,1.2897870797728963
-1.8409923484902437,0.5234947100012748,0.0,0.0,0.0,verteidigung+s+minister israel,2.414213562373095
1.7175354186389717,4.085921739931224,0.0,0.0,0.0,Katz,7.449489742783178
-0.01356670022876516,2.3529227629979905,0.0,0.0,0.0,israel katz,5.0
-2.5524216362738175,-0.18871412762390227,0.0,0.0,0.0,Hisbollah,1.4075492390221336
