keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Ben Gurion',0.11666666666666665,1.0,0.5,1.0,1.0
'Bezalel Smotrich',0.3239695482936236,0.9027008389631213,0.0,0.9999999999999999,3.0
'Israel Katz',-0.20518071391929488,0.8429090264210943,0.0,1.0,5.0
'Itamar Ben-Gvir',-0.0953350250947987,0.21359909979394343,0.2,0.0,3.0
